Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
214048.0	-0.011
214067.7	-0.011	0.0	0.0	0.0
214088.2	-0.3914	-0.3804	0.3804	-0.0186
214098.7	-0.3264	0.065	0.065	0.0062
214124.1	0.4044	0.7308	0.7308	0.0288
214133.9	-0.0835	-0.4878	0.4878	-0.0498
214153.9	2.0537	2.1371	2.1371	0.1069
214173.5	0.1571	-1.8966	1.8966	-0.0968
214183.9	0.1512	-0.0059	0.0059	-0.0006
214203.5	-0.5111	-0.6623	0.6623	-0.0338
214223.2	-0.5111	0.0	0.0	0.0
214233.9	-0.0097	0.5014	0.5014	0.0469
214253.7	-0.0061	0.0036	0.0036	0.0002
214269.8	0.4044	0.4105	0.4105	0.0255
214289.5	0.1426	-0.2618	0.2618	-0.0133
214299.7	-0.4841	-0.6267	0.6267	-0.0614
214319.5	-0.2593	0.2248	0.2248	0.0114
214339.4	-0.3017	-0.0423	0.0423	-0.0021
214349.3	-0.2939	0.0078	0.0078	0.0008
214369.1	0.007	0.3009	0.3009	0.0152
214388.9	0.6863	0.6794	0.6794	0.0343
214399.2	-0.0835	-0.7698	0.7698	-0.0747
214424.7	-0.0097	0.0737	0.0737	0.0029
214436.5	-0.2904	-0.2807	0.2807	-0.0238
214456.4	-0.0097	0.2807	0.2807	0.0141
214466.2	0.0425	0.0522	0.0522	0.0053
214485.9	-0.4841	-0.5266	0.5266	-0.0267
214505.7	0.1654	0.6495	0.6495	0.0328
214516.0	0.4537	0.2883	0.2883	0.028
214535.8	-0.0097	-0.4634	0.4634	-0.0234
214555.8	0.5502	0.5599	0.5599	0.028
214566.4	-0.0291	-0.5793	0.5793	-0.0547
214583.0	0.4537	0.4828	0.4828	0.0291
214609.7	0.0079	-0.4457	0.4457	-0.0167
214620.3	0.1426	0.1347	0.1347	0.0127
214641.1	-0.5111	-0.6537	0.6537	-0.0314
214651.0	-0.2842	0.2269	0.2269	0.0229
214670.7	0.5702	0.8544	0.8544	0.0434
214691.1	0.1426	-0.4276	0.4276	-0.021
214701.9	0.6076	0.4649	0.4649	0.043
214722.6	0.1563	-0.4513	0.4513	-0.0218
214738.4	-0.011	-0.1673	0.1673	-0.0106
214748.7	1.8327	1.8438	1.8438	0.179
214769.0	2.3563	0.5236	0.5236	0.0258
214789.4	2.0537	-0.3027	0.3027	-0.0148
214800.1	0.1512	-1.9024	1.9024	-0.1778
214820.7	-0.3168	-0.468	0.468	-0.0227
214842.0	0.0197	0.3364	0.3364	0.0158
214852.4	1.3818	1.3622	1.3622	0.131
214873.3	-0.3264	-1.7082	1.7082	-0.0817
214889.5	1.3482	1.6746	1.6746	0.1034
214899.9	-0.9175	-2.2657	2.2657	-0.2179
214919.6	-0.4743	0.4432	0.4432	0.0225
214939.1	0.0425	0.5168	0.5168	0.0265
214949.0	0.0425	0.0	0.0	0.0
214968.2	0.0425	0.0	0.0	0.0
214988.0	0.0425	0.0	0.0	0.0
215007.6	-0.6599	-0.7023	0.7023	-0.0358
215017.7	-0.9768	-0.3169	0.3169	-0.0314
215043.4	-0.7535	0.2232	0.2232	0.0087
215055.6	-0.426	0.3275	0.3275	0.0268
215065.4	-0.498	-0.072	0.072	-0.0073
215085.3	-0.498	0.0	0.0	0.0
215105.3	-0.253	0.2449	0.2449	0.0122
215115.6	-0.6599	-0.4068	0.4068	-0.0395
215135.2	-0.2506	0.4093	0.4093	0.0209
215154.8	0.4896	0.7402	0.7402	0.0378
215164.9	0.655	0.1654	0.1654	0.0164
215184.9	-0.0097	-0.6647	0.6647	-0.0332
215200.7	-0.0203	-0.0106	0.0106	-0.0007
215220.2	-0.3223	-0.3019	0.3019	-0.0155
215239.7	-0.3846	-0.0623	0.0623	-0.0032
215249.7	-0.9363	-0.5518	0.5518	-0.0552
215270.3	-0.5111	0.4252	0.4252	0.0206
215289.9	-0.3929	0.1182	0.1182	0.006
215300.1	-0.0203	0.3725	0.3725	0.0365
215319.8	-0.834	-0.8137	0.8137	-0.0413
215339.5	-0.3594	0.4746	0.4746	0.0241
215355.9	0.0757	0.4352	0.4352	0.0265
215366.1	-0.459	-0.5348	0.5348	-0.0524
215385.9	0.1892	0.6482	0.6482	0.0327
215406.3	0.2101	0.0209	0.0209	0.001
215416.7	0.0518	-0.1583	0.1583	-0.0152
215437.0	-0.024	-0.0758	0.0758	-0.0037
215457.3	-0.2904	-0.2665	0.2665	-0.0131
215468.7	1.3879	1.6784	1.6784	0.1472
215482.4	-0.426	-1.8139	1.8139	-0.1324
215509.0	0.0197	0.4457	0.4457	0.0168
215519.4	-0.011	-0.0307	0.0307	-0.0029
215539.0	-0.011	0.0	0.0	0.0
215548.7	-0.2115	-0.2005	0.2005	-0.0207
215569.7	-0.011	0.2005	0.2005	0.0095
215590.1	0.2101	0.2211	0.2211	0.0108
215600.6	-0.5111	-0.7211	0.7211	-0.0687
215620.9	0.0071	0.5182	0.5182	0.0255
215631.3	-0.4841	-0.4912	0.4912	-0.0472
215651.5	-0.2904	0.1937	0.1937	0.0096
215667.8	-0.5111	-0.2207	0.2207	-0.0135
215688.5	-0.5111	0.0	0.0	0.0
215698.5	-0.0002	0.5109	0.5109	0.0511
215718.5	-0.0126	-0.0124	0.0124	-0.0006
215738.6	0.2115	0.2241	0.2241	0.0111
215748.8	0.0809	-0.1306	0.1306	-0.0128
215775.6	0.2028	0.1219	0.1219	0.0045
215786.0	-0.7114	-0.9141	0.9141	-0.0879
215806.7	0.1426	0.854	0.854	0.0413
215823.2	-0.4906	-0.6332	0.6332	-0.0384
215833.3	0.4856	0.9762	0.9762	0.0967
215852.9	-0.0002	-0.4858	0.4858	-0.0248
215873.4	-0.2898	-0.2896	0.2896	-0.0141
215884.9	-0.2115	0.0783	0.0783	0.0068
215904.8	0.1426	0.3541	0.3541	0.0178
215915.0	-0.3886	-0.5312	0.5312	-0.0521
215934.6	0.1426	0.5312	0.5312	0.0271
215954.2	-0.0097	-0.1523	0.1523	-0.0078
215964.5	-0.5111	-0.5014	0.5014	-0.0487
215990.2	-0.0097	0.5014	0.5014	0.0195
216000.3	-2.0417	-2.032	2.032	-0.2012
216019.6	-0.1607	1.8811	1.8811	0.0975
216039.3	-0.335	-0.1743	0.1743	-0.0088
216049.1	-0.011	0.324	0.324	0.0331
216068.8	0.0197	0.0307	0.0307	0.0016
216089.8	-0.4906	-0.5103	0.5103	-0.0243
216100.2	0.0098	0.5004	0.5004	0.0481
216119.9	1.348	1.3382	1.3382	0.0679
216136.2	-0.5111	-1.8591	1.8591	-0.1141
216156.3	-0.2115	0.2996	0.2996	0.0149
216166.2	-0.2115	0.0	0.0	0.0
216185.5	0.1426	0.3541	0.3541	0.0183
216205.7	1.8523	1.7096	1.7096	0.0846
216216.0	-0.5111	-2.3634	2.3634	-0.2295
216237.3	-0.5111	0.0	0.0	0.0
216248.0	-2.1425	-1.6314	1.6314	-0.1525
216267.5	-0.2506	1.892	1.892	0.097
216292.9	2.0537	2.3042	2.3042	0.0907
216304.2	-0.4073	-2.461	2.461	-0.2178
216324.8	-0.0097	0.3976	0.3976	0.0193
216336.1	0.1574	0.1671	0.1671	0.0148
216356.5	0.1027	-0.0547	0.0547	-0.0027
216366.5	-0.335	-0.4377	0.4377	-0.0438
216385.9	-0.7114	-0.3764	0.3764	-0.0194
216405.4	2.0537	2.765	2.765	0.1418
216415.4	-0.3223	-2.376	2.376	-0.2376
216435.1	0.1512	0.4735	0.4735	0.024
216451.3	0.1512	0.0	0.0	0.0
216472.5	-0.7914	-0.9426	0.9426	-0.0445
216484.3	-0.4936	0.2978	0.2978	0.0252
216507.2	0.1574	0.651	0.651	0.0284
216518.1	-0.3168	-0.4742	0.4742	-0.0435
216538.7	0.1512	0.468	0.468	0.0227
216548.8	-0.0097	-0.1609	0.1609	-0.0159
216569.0	0.1829	0.1926	0.1926	0.0095
216589.1	0.1621	-0.0208	0.0208	-0.001
216604.6	0.1426	-0.0194	0.0194	-0.0013
216615.0	-0.4906	-0.6332	0.6332	-0.0609
216635.1	-0.2115	0.2791	0.2791	0.0139
216655.5	0.1426	0.3541	0.3541	0.0174
216665.6	-0.2809	-0.4236	0.4236	-0.0419
216685.3	0.1426	0.4236	0.4236	0.0215
216705.8	0.1707	0.028	0.028	0.0014
216717.3	-0.2115	-0.3822	0.3822	-0.0332
216737.1	0.0694	0.2809	0.2809	0.0142
216747.5	-0.0291	-0.0985	0.0985	-0.0095
216773.3	-0.0291	0.0	0.0	0.0
216783.4	2.1205	2.1496	2.1496	0.2128
216803.0	0.5997	-1.5208	1.5208	-0.0776
216822.8	1.8377	1.2379	1.2379	0.0625
216833.3	2.5543	0.7167	0.7167	0.0683
216852.8	-2.028	-4.5823	4.5823	-0.235
216873.0	0.0859	2.1139	2.1139	0.1046
216883.3	-0.011	-0.0969	0.0969	-0.0094
216903.7	0.4461	0.4571	0.4571	0.0224
216926.5	0.0075	-0.4385	0.4385	-0.0192
216937.6	-0.0002	-0.0078	0.0078	-0.0007
216948.0	-0.4728	-0.4726	0.4726	-0.0454
216967.5	0.4623	0.9351	0.9351	0.048
216987.0	-0.011	-0.4733	0.4733	-0.0243
217006.5	0.1426	0.1536	0.1536	0.0079
217016.7	0.1406	-0.002	0.002	-0.0002
217036.4	0.2028	0.0621	0.0621	0.0032
217056.5	-0.4441	-0.6469	0.6469	-0.0322
217072.3	-0.5111	-0.067	0.067	-0.0042
217082.5	-0.3886	0.1225	0.1225	0.012
Max Range is: 4.582339178242358
Mean Range is: 0.5867497693286986
Peak Velocity is: 0.21282701779308164
Mean Velocity is: -0.0039026898169091054

Time	 CoPy	 Distance(d)	 Abs Distance	 Velocity
214048.0	-0.0086
214067.7	-0.0086	0.0	0.0	0.0
214088.2	-0.3894	-0.3809	0.3809	-0.0186
214098.7	-0.327	0.0624	0.0624	0.0059
214124.1	0.4031	0.7301	0.7301	0.0287
214133.9	-0.083	-0.4862	0.4862	-0.0496
214153.9	1.9908	2.0738	2.0738	0.1037
214173.5	0.1542	-1.8366	1.8366	-0.0937
214183.9	0.1483	-0.006	0.006	-0.0006
214203.5	-0.5069	-0.6552	0.6552	-0.0334
214223.2	-0.5069	0.0	0.0	0.0
